"Ticker","StartingCapital","EndingCapital","NetProfit","TotalReturnPct","MaxDrawdownPct","AcceptedTradeCount","WinningTradeCount","LosingTradeCount"
"APP",,,,,,,,
"CRDO",,,,,,,,
"INTC",,,,,,,,
"MSFT",,,,,,,,
"MU",,,,,,,,
"NVDA",,,,,,,,
