"StrategyName","TotalReturnPct","AverageDailyReturnPct","MaxDrawdownPct","AcceptedTradeCount","WinningTradeCount","LosingTradeCount","NetProfit"
"Swing Reversal Reclaim Bull Quality No News V1","11.9532","0.0980","3.8461","10","6","4","1195.3160"
"Swing Overbought Rollover Short No News V5","3.6649","0.0300","0","2","2","0","366.4898"
